 year, Month,Monthly Anomaly,temp.normalize
1951,1,-0.359,0.091
1951,2,-0.546,0.092
1951,3,-0.106,0.081
1951,4,-0.029,0.087
1951,5,0.042,0.109
1951,6,0.028,0.113
1951,7,0.013,0.139
1951,8,0.127,0.115
1951,9,0.167,0.093
1951,10,0.27,0.091
1951,11,0.021,0.084
1951,12,0.308,0.079
1951,1,0.254,0.08
1951,2,0.178,0.095
1951,3,-0.108,0.084
1951,4,0.122,0.104
1951,5,-0.018,0.105
1951,6,-0.021,0.125
1951,7,0.185,0.149
1952,8,0.206,0.119
1952,9,0.152,0.123
1952,10,0.03,0.091
1952,11,-0.168,0.094
1952,12,0.088,0.098
1952,1,0.149,0.089
1952,2,0.315,0.091
1952,3,0.283,0.104
1952,4,0.438,0.104
1952,5,0.239,0.106
1952,6,0.226,0.135
1952,7,0.087,0.139
1952,8,0.075,0.106
1952,9,0.125,0.109
1952,10,0.188,0.099
1952,11,-0.12,0.094
1952,12,0.178,0.108
1952,1,-0.247,0.094
1952,2,-0.09,0.092
1952,3,-0.144,0.105
1952,4,-0.229,0.096
1952,5,-0.217,0.119
1952,6,-0.001,0.102
1952,7,0.026,0.107
1952,8,-0.051,0.09
1952,9,-0.154,0.099
1952,10,0.155,0.086
1952,11,0.114,0.108
1952,12,-0.1,0.098
1952,1,0.357,0.086
1952,2,-0.195,0.089
1952,3,-0.393,0.088
1952,4,-0.217,0.083
1952,5,-0.187,0.131
1952,6,-0.133,0.089
1952,7,-0.131,0.101
1952,8,0.266,0.091
1952,9,-0.006,0.076
1952,10,0.133,0.08
1952,11,-0.269,0.073
1952,12,-0.302,0.083
1952,1,-0.1,0.079
1952,2,-0.287,0.075
1952,3,-0.325,0.076
1952,4,-0.247,0.099
1952,5,-0.341,0.107
1952,6,-0.157,0.083
1952,7,-0.035,0.081
1952,8,-0.304,0.086
1952,9,-0.249,0.076
1952,10,-0.258,0.066
1952,11,-0.268,0.069
1952,12,-0.051,0.069
1952,1,-0.118,0.066
